"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
0,1,0.7,1,1,1,20,501.48,506.1,495.85,501.945,505.85,495.1,0.000483598165639282,0.0165046682389936,-0.0190711434255277,9.7793522710534e-06,0.0146837477658905,-0.0161044120191284,444.076923076923,453.15,437.55,379.490384615385,393.1,365.4,82.3807692307692,87.4,77.6,4.02222087661023e-05,0.0238376441281684,-0.0218877140713811,-3.76000156256645e-05,0.0336005118292059,-0.0166249804548249,0.010408747327296,0.0579151063465765,-0.037281996593524,3.58076923076923,4.4,2.7,5.67692307692308,6.6,4.8
0,1,0.8,1,1,1,20,501.75,508.45,497.7,501.685,505,496.8,3.964047450994e-05,0.0111319544618612,-0.0111329645564493,0.000414852536319174,0.010640268270592,-0.010960177313827,431.15,441.35,416.15,341.875,359.45,318.7,99.3442307692308,107.9,91.45,9.57885620648308e-05,0.0265007376379991,-0.0308362343627918,0.00154893361573585,0.0369318049546836,-0.0290281707820571,0.00859549684585427,0.042680020925897,-0.0440484619144851,4.37307692307692,5.1,3.2,5.91153846153846,7.2,4.4
0,1,0.9,1,1,1,3,504.6,513,489,503.5,518.333333333333,486.666666666667,0.00274111857664082,0.0329032263880385,-0.0365928484102877,0.00074250313290645,0.0355507631166829,-0.0562108564005765,492.461538461538,507.333333333333,474.666666666667,492.435897435897,509,471.666666666667,16.8461538461538,21.6666666666667,11.3333333333333,0.00263317705694564,0.0393488949680873,-0.0495677170788434,0.00071008038307088,0.0458768056764202,-0.0676794135792786,0.047979349062121,0.522058823529412,-0.268707482993197,0.782051282051282,2,0,0.833333333333334,2,0
1,0,0.2,1,1,1,1,504.1,525,494,500.5,514,484,-0.00133470442117775,0.0437375745526839,-0.0425531914893617,0.00100099660238147,0.0619834710743802,-0.0565302144249513,491.807692307692,520,461,476.269230769231,502,444,10.2692307692308,17,5,-8.79467477608628e-05,0.0855949895615866,-0.0596153846153846,0.000483787219873794,0.0791208791208791,-0.0712830957230143,0.0517407931435081,0.833333333333333,-0.375,0.692307692307692,2,0,1.76923076923077,5,0
1,0,0.4,1,1,1,17,503.258823529412,508.470588235294,495.294117647059,503.664705882353,506.705882352941,498.882352941176,0.00117773161022082,0.0246053378194799,-0.0123921931991118,0.00106189646664787,0.0164820219216664,-0.0128158611529788,482.988687782805,492.411764705882,477.882352941176,445.409502262443,454,437.941176470588,31.368778280543,33.4117647058824,28.2941176470588,0.00105545770809327,0.0243165267616031,-0.0267742222776335,-2.09737013448417e-05,0.0229066443343325,-0.0218447385835053,0.0219068769381574,0.112404148827808,-0.0916471826802257,1.59276018099548,2.47058823529412,1,3.61085972850679,4.76470588235294,2.70588235294118
1,0,0.5,1,1,1,15,502.193333333333,505.066666666667,498.866666666667,503.546666666667,507,494.266666666667,0.000671927430639905,0.0128919424082918,-0.00623608279460417,0.00172413403268352,0.0233906501677451,-0.0120286464437356,478.676923076923,487.466666666667,471.133333333333,460.2,466.4,450,33.7307692307692,36.5333333333333,31.2666666666667,0.000637938361022974,0.023986060583906,-0.0199249539270069,0.00132887233799236,0.0213550627952873,-0.0136243831101905,0.0144838145341709,0.114207498633015,-0.056955031691432,1.61538461538462,2.46666666666667,1.06666666666667,2.94102564102564,3.66666666666667,2.33333333333333
1,0,0.6,1,1,1,20,501.15,504.2,498.15,502.005,507.5,495.9,0.000869235109402383,0.00743400253113315,-0.00786835935964804,0.00127832354152597,0.0160092545304531,-0.00912793175470882,463.076923076923,468.7,457.55,420.623076923077,430.1,406.25,58.6673076923077,64.55,54,0.000901822839382533,0.019115008288611,-0.0212752505885561,0.000848985290043889,0.0274683136823172,-0.018255001959604,0.00807827283054845,0.100269318881123,-0.0588769081000926,2.72115384615385,3.3,1.95,4.51538461538462,5,3.8
1,0,0.7,1,1,1,20,502.785,507.55,497.9,503.26,506.3,501.9,0.000135231009267861,0.0126494115283385,-0.0162911483700284,0.00146997799196591,0.00759803295725378,-0.00447970746905002,444.323076923077,451.25,439.15,377.446153846154,385.5,370.05,82.6307692307692,85.6,79.3,-0.000239664309035069,0.0183879192935192,-0.0158905365008492,0.00260567775927313,0.0234974758578216,-0.0182397426748877,0.00804904617773389,0.0607536969985454,-0.0403425658848887,3.70769230769231,4.65,2.75,5.32692307692308,6.2,4.6
1,0,0.8,1,1,1,20,503.095,509,495.75,503.585,508.3,499,0.00103492589129986,0.010236074350222,-0.0131619545975313,0.0013428052830398,0.00864593339531354,-0.0122095663136378,429.209615384615,437.05,421.8,337.786538461538,344.15,329.05,99.6480769230769,106.05,94.95,0.000642987818960045,0.0204218810443227,-0.024896708784262,0.00264426849553578,0.0186707290923467,-0.015324700512066,0.00382853702404633,0.0577830710086795,-0.0348916239877025,4.17307692307692,5.4,3.15,6.02692307692308,7,4.8
1,0,0.9,1,1,1,3,501.733333333333,516,484,502.333333333333,510.333333333333,495.333333333333,0.00204193649247196,0.0632326839875528,-0.0388597521200261,0.00216842753871067,0.0164821912280022,-0.029293276764897,496.820512820513,517.666666666667,485,494.435897435897,507.333333333333,470,11.6538461538462,16.3333333333333,8.66666666666667,0.00265826186883036,0.0648345902856474,-0.0512271344647776,0.000767344508516268,0.054449137728419,-0.0589447277806823,0.13331235693936,1.15333333333333,-0.455555555555556,0.641025641025641,1.66666666666667,0.333333333333333,0.538461538461538,1.33333333333333,0
1,0,1,1,1,1,20,502.705,510.1,498.4,502.755,506.95,498.5,-0.000738819893369348,0.0146465756412755,-0.0186088578091858,-3.75809992644562e-05,0.0163731763083853,-0.0123918820186697,408.042307692308,416.55,397.75,414.251923076923,420.55,407.7,121.559615384615,125.5,116.65,0.00174511916625613,0.0196128955475523,-0.0209364911678281,0.00191044726418871,0.0219000316202522,-0.0273349652521687,0.00386617923772568,0.0325254181093524,-0.0367200738086266,4.83653846153846,6.1,3.4,4.76346153846154,5.6,3.95
