"pry1Cons","prdCtch","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"1","0.05",360,10,2565.2,2492.4,2622.1,2585,2456.5,2696.8,6644.5,6626.4,6667.5,6640.8,6607.3,6670.9,0.2,0,0.5,0.4,0,0.8,10.5,6.4,15.1,0.0489110663680344,-0.393180522751909,0.524254141326047,0.0449253627524448,-0.417756228854461,0.390176854365069,-2.86933051692776,-14.9961861174676,10.1563105087133
"1","0.05",370,10,2608.2,2540,2678,2569.1,2470.7,2657.1,6641.3,6616.8,6665.4,6640.3,6615.1,6665.9,0.2,0,0.5,0.4,0.1,0.7,9.1,5.3,13.1,-0.0477162003210541,-0.335447086376637,0.23975351995546,-0.00557716439768607,-0.298618458395606,0.289456415706725,-10.2380952380952,-24.3181818181818,2.94372294372294
"1","0.05",380,10,2588.9,2504.8,2688.6,2644.6,2555.2,2728.1,6624.2,6602.2,6645,6602,6574.6,6633.7,0.3,0,0.6,0.1,0,0.3,8.6,4.4,12.8,-0.255617513575038,-0.611555449976908,0.0554483560430345,-0.574891245260881,-1.01262853496738,-0.142934287866486,-14.75,-37.6111111111111,3.77777777777777
"1","0.05",390,10,2632.5,2561.9,2697.3,2692.6,2579.3,2787.9,6612.4,6581.5,6638.2,6615.8,6590.9,6639.7,0.6,0.2,1,0.2,0,0.5,8.3,3.9,12.9,-0.176218455711771,-0.724861270864167,0.216111804856831,0.211976003613938,-0.152275547564371,0.653691657001243,3.65800865800866,-11.969696969697,27.1428571428571
"1","0.05",400,10,2630,2584.8,2681.4,2632.8,2563.6,2698.6,6626.9,6604.9,6653.7,6595.4,6576.3,6617.4,0.1,0,0.3,0.7,0.1,1.5,8.6,3.7,13.1,0.2217763513918,-0.171532368985403,0.594037847221079,-0.305295613278078,-0.765993476594081,0.094488621672842,-6.77743824802648,-22.5710890416773,8.26330532212885
"1","0.05",410,10,2523.7,2444.9,2599.9,2691.1,2614.1,2763,6615.7,6592.5,6639.4,6589.1,6556.7,6612,0.5,0,1,0.4,0.1,0.7,8.6,3.6,14.2,-0.166173694376577,-0.621234006163588,0.249884626860199,-0.0947304363254852,-0.46299068195808,0.264753346100769,-1.98484848484849,-9.33333333333333,4.60606060606061
"1","0.05",420,10,2629,2544.5,2714.8,2611.9,2503.3,2723.7,6623.2,6596.8,6653.8,6609.7,6580,6641.4,0.4,0,0.9,0.6,0.1,1.1,8.3,3.4,14,0.1144925566634,-0.250019175259898,0.473524183900415,0.313336440403568,-0.0121903482768255,0.600142414516954,-10.5788895315211,-33.890977443609,9.02111046847889
"1","0.05",430,10,2565,2467.1,2645.3,2607.6,2484.6,2732.1,6618.9,6601.3,6635.9,6618.4,6576.3,6658.5,0,0,0,0.2,0,0.5,8.2,3.2,12.8,-0.0612523116246505,-0.502674770256155,0.344178459550302,0.132063991101043,-0.347047280866553,0.631295840442113,-2.18847818847818,-13.2234432234432,7.63203463203464
"1","0.05",440,10,2605.3,2484.9,2721.6,2613.4,2511.4,2718.2,6599.1,6570,6631.5,6617.2,6595.3,6637.4,0.6,0.1,1.2,0.7,0.3,1.1,7.8,3.7,12.5,-0.297942269484604,-0.771503905958522,0.18985718445845,-0.0115093988243139,-0.421626295319714,0.446193301346468,19.0652173913043,-6,49.1304347826087
"1","0.05",450,10,2637.8,2522.4,2768.9,2583.2,2463.7,2701.7,6620.3,6586.9,6650.2,6629.6,6599.9,6658.4,0.2,0,0.5,0.2,0,0.4,7.1,2.8,11.8,0.323335419273634,-0.0718934231305625,0.704752009986251,0.187195603104355,-0.0945011956953177,0.420208317548334,-9.22077922077922,-20.5194805194805,-1.42857142857143
"1","0.05",460,10,2621.8,2527.4,2733.4,2663.1,2565.2,2760.8,6622.3,6586.5,6655.1,6623.9,6588.7,6654.9,0.2,0,0.6,0.6,0.2,1,7.7,3.3,12.5,0.0325500313965835,-0.412184394310974,0.525615664169681,-0.0847784045124329,-0.490233081616566,0.292230853914879,13.7719298245614,-8.94736842105263,39.8245614035088
"1","0.05",470,10,2558.1,2439.4,2675.6,2635.3,2504.1,2767.3,6628.6,6606.2,6652.7,6633.2,6605.8,6658.5,0.5,0.1,0.9,0.1,0,0.3,7,3.1,11.1,0.10012838593829,-0.358684196840705,0.56606555765511,0.143901382909727,-0.277839965348762,0.565528162120712,-6.68253968253968,-12.2539682539682,-1.66666666666667
"1","0.05",480,10,2602.3,2484.9,2728.4,2629.2,2532.4,2720.7,6620.6,6589.1,6650,6605.5,6567.3,6641.6,0.2,0,0.6,0.4,0.1,0.7,6.5,2.6,10.5,-0.11998708048901,-0.43621596129103,0.224627348586065,-0.417791609657779,-0.787009759128644,-0.0742020727247362,-6.60714285714286,-32.8571428571429,13.75
"1","0.05",490,10,2581.4,2479.7,2684.9,2580.7,2456.5,2703.4,6614.3,6585.7,6649.6,6609.2,6566.4,6648.8,0.1,0,0.3,0.2,0,0.5,6.4,2.5,10.1,-0.0927054309422113,-0.622458665905417,0.398522475586192,0.0569689263353904,-0.338209965502519,0.485726547117265,-2.47712418300653,-11.8104575163399,6.16666666666667
"1","0.05",500,10,2590,2504.5,2666.6,2637.2,2531,2751,6609.1,6575.2,6649.1,6609.7,6582.6,6638.2,0.2,0,0.5,0.3,0,0.6,6.4,2.6,10.3,-0.0777970462980622,-0.438372842774992,0.272123565880237,0.0147435727994874,-0.526281305896896,0.642276906783026,-5.65909090909091,-31.6590909090909,13.0909090909091
"1","0.05",510,10,2547,2433.6,2658.6,2688.6,2597.1,2782.1,6628.6,6608.5,6651,6598.4,6571.5,6629.1,0.1,0,0.3,0.3,0,0.6,5.3,2.3,9,0.30050102525627,-0.200495623261855,0.676171706293456,-0.170053718078828,-0.448479968868592,0.122386336817517,-9.47222222222222,-21.6944444444444,1.77777777777778
"1","0.05",520,10,2599.7,2520.7,2693.4,2668.5,2571.6,2755.3,6631.8,6601.3,6664.3,6604,6578.3,6632.4,0.4,0.1,0.7,0.1,0,0.3,5.3,2.2,8.5,0.0493914147814935,-0.40191697555412,0.472809133252321,0.0866860143850484,-0.313890875093659,0.416039491194144,2.38095238095238,-4.76190476190477,10.7142857142857
"1","0.05",530,10,2599.5,2560.5,2636.2,2652.1,2559.6,2748.9,6606.2,6590.1,6624.5,6596,6572.2,6619.3,0.2,0,0.5,0.3,0,0.7,4.7,1.4,8.2,-0.380695387847761,-0.891552866539552,0.133839049566762,-0.117135522812882,-0.636497457488502,0.379002322890392,-12.3815628815629,-34.6593406593407,4.07142857142857
"1","0.05",540,10,2655.9,2591.3,2739.3,2685,2635.6,2742.6,6630.8,6620.8,6642,6615.8,6583.5,6645.1,0.1,0,0.3,0.2,0,0.5,4.5,1.6,7.9,0.37408875776458,0.0896180994625246,0.647161943071455,0.302469993948717,-0.16254524959166,0.8361433957468,-0.0238095238095271,-11.7142857142857,12.8333333333333
"1","0.05",550,10,2613.6,2562.1,2671.3,2658.1,2594.3,2728.7,6623.6,6605,6642.6,6592,6563.4,6614.7,0,0,0,0.2,0,0.4,5.2,1.9,8.7,-0.108141621839989,-0.377936337329892,0.231526227324519,-0.356989991661817,-0.759114339552177,0.0648384344528211,9.32600732600733,0.604395604395602,18.3809523809524
"1","0.05",560,10,2586.3,2497.1,2668.1,2626.8,2544.7,2707.1,6612.5,6586.3,6640.6,6605.7,6590.1,6621.1,0.1,0,0.3,0.4,0,0.8,4.7,0.9,9.1,-0.166477036046392,-0.568114449160652,0.266286946356287,0.211777788129856,-0.188716088794501,0.69883773412694,-8.72829131652661,-26.8235294117647,4.28571428571429
"1","0.05",570,10,2632.6,2548.1,2716.3,2610.6,2512.6,2718.6,6607.3,6579,6639.2,6624.7,6600.8,6647,0,0,0,0.1,0,0.3,4.3,1.2,7.6,-0.0776898064313653,-0.42756547712584,0.246500346340409,0.287889415272827,-0.0144515259539874,0.553869989856537,8.22055137844611,-9.9812030075188,30.8333333333333
"1","0.05",580,10,2588.6,2519.3,2664,2566.2,2444.7,2668.1,6627.6,6602.1,6650.5,6638.9,6598.5,6678.5,0.1,0,0.3,0,0,0,4.2,1.3,7.3,0.310741884963397,-0.146243805646576,0.70137232887852,0.214429383967791,-0.251786017093806,0.703365255397673,1.19230769230769,-7.11538461538462,9.33333333333333
"1","0.05",590,10,2525.6,2463.5,2588.4,2555.3,2469.9,2635.9,6630.7,6609.1,6648.5,6640.8,6606.2,6673.4,0.3,0,0.6,0.1,0,0.3,4.2,1.3,7.3,0.0506133921278152,-0.42974116533936,0.529126958557615,0.0325286581744612,-0.395210629615916,0.495850619372659,4.5,-6.90909090909091,16.7727272727273
