"pry1cons","prdCtchProb1","timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
"15","0.25",680,10,4360.6,4098.5,4632.4,4423.7,4187.8,4648.1,508.2,502,515.3,500.1,490.7,509.8,0,0,0,0,0,0,0,0,0,0.338468112069477,-1.32452493045005,1.9796076738107,-1.71747820863288,-4.12099583654007,0.65630713064976,0,0,0
"15","0.25",690,10,4320.5,4083.6,4579.3,4588.6,4348.7,4842.7,510,501,518.8,502.4,495.2,509.3,0,0,0,0,0,0,0,0,0,0.377418991408624,-1.35776001102235,2.10729094053068,0.533888368648465,-1.35859313470604,2.4480613531065,0,0,0
"15","0.25",700,10,4331.9,4055.2,4646.5,4396.4,4190.7,4582.6,497.2,491.2,502.3,505.7,499.3,512.1,0,0,0,0,0,0,0,0,0,-2.43547635809186,-4.4494826646013,-0.500230695899144,0.721150995952694,-1.37592196340222,2.73154050478522,0,0,0
"15","0.25",710,10,4679.6,4453.1,4898.4,4347.3,4175.5,4520.2,500.1,488.7,509.8,498.8,494.1,503.5,0,0,0,0,0,0,0,0,0,0.616788934303008,-2.03705867044135,3.10463251444853,-1.32017001438308,-2.92792535360181,0.328647391735332,0,0,0
"15","0.25",720,10,4701.9,4541.7,4843.8,4480.1,4307.3,4628,495.2,484.3,504.1,514,505.7,522.2,0,0,0,0,0,0,0,0,0,-0.830590433336764,-3.8452472684006,2.60486485242608,3.05938446349734,1.52300790433151,4.85505746465349,0,0,0
"15","0.25",730,10,4693,4428.8,4952,4168.7,3907.2,4428.5,497.3,487.2,507.1,513.3,507.9,519.7,0,0,0,0,0,0,0,0,0,0.537289180470484,-2.18101310176704,3.76626663298171,-0.0517874645675614,-2.30124057789201,2.17580973155521,0,0,0
"15","0.25",740,10,4575.6,4251.7,4881.4,4270.6,4077.2,4447.9,507.1,495.8,517.3,503,497.7,508.8,0,0,0,0,0,0,0,0,0,2.08539775732405,-0.773873294676974,5.13776898717911,-1.98118445089604,-3.18601448521308,-0.659128512046866,0,0,0
"15","0.25",750,10,4453.3,4174.5,4760.9,4455.6,4314.4,4583.6,504.5,494.9,515.6,496.4,489.5,504.4,0,0,0,0,0,0,0,0,0,-0.384794947902242,-3.57505378232179,3.1425654889043,-1.30158416942218,-2.72737197310621,0.0758126410463345,0,0,0
"15","0.25",760,10,4445.9,4195.9,4691.6,4605.1,4363.7,4804.3,498.7,491,506.8,505.3,491,518,0,0,0,0,0,0,0,0,0,-1.0217506206935,-3.79625939553315,1.70833535776713,1.88101239219034,-1.61629348295984,5.2074746264538,0,0,0
"15","0.25",770,10,4635.4,4414.1,4853.5,4417.6,4121.3,4731.5,506.3,501.3,511.2,502,493.7,510.6,0,0,0,0,0,0,0,0,0,1.5883332512146,-0.235640879964917,3.432230862757,-0.423964328325793,-3.9958666754956,3.42649988871597,0,0,0
"15","0.25",780,10,4485.5,4313.6,4664.3,4465.1,4182.9,4762.5,502.6,498.1,507,505.8,501.2,510.4,0,0,0,0,0,0,0,0,0,-0.716842013462703,-1.57639363715173,0.29508215288224,0.840572192346401,-1.37046533177368,2.67855626163925,0,0,0
"15","0.25",790,10,4427.4,4259.6,4607.4,4379.6,4190.8,4556.1,503.9,493.7,514.7,501.5,492.5,511.4,0,0,0,0,0,0,0,0,0,0.289847034796336,-2.07493723612801,2.6985606037532,-0.859244809640915,-2.10287570505225,0.618428346839671,0,0,0
"15","0.25",800,10,4378.6,4065.4,4641.9,4553.9,4209.8,4895.6,507.7,501.1,515.1,503.7,493.8,512.1,0,0,0,0,0,0,0,0,0,0.860236952576098,-1.49124283242581,3.10979212663873,0.521388908893704,-2.24443472645465,2.99060868143824,0,0,0
"15","0.25",810,10,4430.3,4212.6,4613.3,4500.1,4321.6,4700,500.3,493,508.2,502.6,496.6,508.4,0,0,0,0,0,0,0,0,0,-1.40630303877125,-3.64969524851748,0.632581527948662,-0.149549327964233,-1.7770999932309,1.71463796946464,0,0,0
"15","0.25",820,10,4457.1,4248,4670,4557.3,4311.3,4802.1,504.4,497.1,510.8,506.8,498.5,515.8,0,0,0,0,0,0,0,0,0,0.910871182910531,-1.91577011992938,3.29139066094526,0.871147568956995,-0.826054366609091,3.00960645957492,0,0,0
"15","0.25",830,10,4430.7,4205.5,4664.2,4381.2,4223.3,4532.6,503.3,495,511.7,502.6,493,511.2,0,0,0,0,0,0,0,0,0,-0.166917617213558,-2.27451033326151,1.80562233485413,-0.734707572518095,-3.52297972730699,2.03935753969611,0,0,0
"15","0.25",840,10,4540.4,4271.8,4796.8,4519.8,4250,4808.9,496.2,487.4,503.2,501.1,487,515.3,0,0,0,0,0,0,0,0,0,-1.37254072637513,-3.30267142666953,0.21559418299707,-0.196890761817799,-3.52095378053315,3.33024399083371,0,0,0
"15","0.25",850,10,4634.4,4441.7,4828.2,4600.4,4251.7,4958.4,507.4,501.2,513.8,508.4,498.6,518.2,0,0,0,0,0,0,0,0,0,2.31201814946043,0.708042606957131,4.17631057288859,1.70739845685652,-2.11621161541755,5.42211054552379,0,0,0
