"predSpecific","predOportunistic","convRateRatio","catchProbaRatio","preyOffspRatio","maxConsRatio","replicatesNb","prey1extFreq","prey2extFreq","prey1extFreq.1","prey1densBeforeMean","prey1densBeforeMax","prey1densBeforeMin","prey2densBeforeMean","prey2densBeforeMax","prey2densBeforeMin","prey1growthBeforeMean","prey1growthBeforeMax","prey1growthBeforeMin","prey2growthBeforeMean","prey2growthBeforeMax","prey2growthBeforeMin","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin"
1,0,1,1,10,1,20,0,0,0,504.455,509.8,499.05,595.85,620.4,576.55,0.0019437121722948,0.0118119263509493,-0.0084492745297277,0.0666774001893444,0.125807121799093,-0.0350157859179563,330.955769230769,340.25,321.85,550.269230769231,623.8,478.65,181.75,189.8,172.45,0.00276979711537531,0.0220132135839491,-0.020507626814672,0.0549276270994483,0.331943178195587,-0.196390278878929,0.00251493882470801,0.0290468984405938,-0.0372688693234663,5.75769230769231,7.3,4.4,8.36153846153846,9.55,7.4
1,0,1,1,2,1,20,0,0,0,502.255,507.05,497.35,521.385,532.05,513.85,6.43929851990034e-05,0.0156939144706862,-0.0130224741381547,0.00145330163155897,0.0200067111779822,-0.0292941117673251,388.873076923077,395.45,382.2,446.640384615385,456.4,440.6,141.203846153846,146.25,135.5,0.00216674037521531,0.0209093706210965,-0.030827048371295,0.00167891519845539,0.0223947064406278,-0.0259157949735899,0.00523311482650044,0.027237030019349,-0.018265789346964,5.23461538461538,6.25,4.15,5.75961538461539,6.75,4.45
1,0,1,1,3,1,20,0,0,0,502.78,506.5,499.8,536.465,543.7,527.4,0.00166144040922972,0.0131467711145224,-0.0120399757288858,0.00108651462333731,0.0144674267730725,-0.0281216413818647,368.936538461538,378.45,354.1,469.85,481.85,457.75,155.444230769231,158.5,152.5,0.00258187332364212,0.02035935799074,-0.0217836066782192,0.0046849663785362,0.0366769139897172,-0.0259019483821878,0.00302216612936892,0.0369725285511821,-0.0181247563401615,5.68846153846154,6.95,4.95,6.45384615384615,7.35,5.45
1,0,1,1,4,1,20,0,0,0,503.09,508.3,497.7,550.125,569.2,541.9,0.000420764191907115,0.0155593602954252,-0.0127535500758357,0.00492379907877161,0.0405200996865848,-0.0326573958584488,360.034615384615,370,350.5,490.826923076923,503.25,474.8,163.665384615385,170.75,157.15,0.00050691622360742,0.0225119492125368,-0.0200715132832341,0.00557897623694885,0.0608154223089707,-0.0415580516528986,0.00312611393344037,0.0309693962561572,-0.0412393992097814,5.85,6.65,5.25,7.18269230769231,8.65,5.9
1,0,1,1,5,1,20,0,0,0,503.855,510.45,500.05,559.75,573.1,547.4,0.000670440672974443,0.016133424155549,-0.0135521140594684,0.00848485665559083,0.0465652110590483,-0.0366009119691682,352.442307692308,359.85,340.2,505.769230769231,525.7,491.95,171.136538461538,179.65,164.1,0.000209740625324273,0.038448011171854,-0.0234233943640449,0.00674873812022202,0.071867888225008,-0.0372198016301463,0.00579446306901097,0.0401379792113691,-0.0429824901502223,6.06346153846154,7.2,4.7,7.50192307692308,9.15,6.4
1,0,1,1,6,1,20,0,0,0,502.15,509.6,495.65,569.01,577.55,563.05,0.000970339764148129,0.0225052999084158,-0.0169642776384095,0.0136114917563248,0.0249632210210512,-0.0146101074273728,338.878846153846,349.6,330.85,517.734615384615,544.15,497,175.359615384615,182,170.9,0.00143638225058023,0.0218595853900171,-0.0177074090270796,0.0143171401043327,0.101504553161574,-0.063920065313556,0.0015337425078968,0.0368410193708958,-0.0287042443755574,5.94807692307692,6.65,5.3,7.86730769230769,9.4,7.05
1,0,1,1,7,1,20,0,0,0,501.735,505.15,495.55,575.61,593.85,551.55,0.000430703517519065,0.0144947331857346,-0.0129503173587086,0.0162446274077344,0.0862349617244599,-0.048093385336643,339.711538461538,347.95,323.05,529.469230769231,559.3,507.6,177.538461538462,185.65,170,0.00274105515189484,0.0273999605815159,-0.0164974567471376,0.0156553833035128,0.117215924169498,-0.0707950805818179,0.00135217470604347,0.0400586973618624,-0.0334252097079532,6.19615384615385,7,5.4,7.99807692307692,9.6,7.05
1,0,1,1,8,1,20,0,0,0,503.25,509.6,497.9,581.31,599.6,566.4,0.000402141154260856,0.0200397556000055,-0.0177286774940894,0.029971840163966,0.0878626944859556,-0.020655388114216,330.125,339.3,322.65,537.701923076923,561.85,511.9,181.765384615385,188.6,177.9,0.00115420345057499,0.0184254832625345,-0.0223792189537283,0.0211830521181107,0.100539078683722,-0.0619904265835957,0.00348872626677228,0.0428758005612163,-0.0270344616566703,5.90576923076923,7.4,4.8,8.36153846153846,9.6,6.8
1,0,1,1,9,1,20,0,0,0,501.115,505.75,497.45,588.87,613.6,575.95,-0.000470233709015056,0.0135572633473649,-0.00774238877852065,0.0523891039439081,0.103914036691127,-0.00111628205061309,337.138461538462,347.65,325.8,545.555769230769,582.75,507.55,179.426923076923,188.4,172.2,0.00117333559813818,0.0219510375151826,-0.0265193640455441,0.0392563353324839,0.194914459448217,-0.0846150033714641,0.0055386014944433,0.0488619571787518,-0.0319928646968208,5.81153846153846,6.75,4.9,8.325,9.85,6.4
1,0,1,1,1,1,20,0,0,0,502.705,510.1,498.4,502.755,506.95,498.5,-0.000738819893369348,0.0146465756412755,-0.0186088578091858,-3.75809992644562e-05,0.0163731763083853,-0.0123918820186697,408.042307692308,416.55,397.75,414.251923076923,420.55,407.7,121.559615384615,125.5,116.65,0.00174511916625613,0.0196128955475523,-0.0209364911678281,0.00191044726418871,0.0219000316202522,-0.0273349652521687,0.00386617923772568,0.0325254181093524,-0.0367200738086266,4.83653846153846,6.1,3.4,4.76346153846154,5.6,3.95
